title,duration,release_date,genre,country,director,poster_URL
Parasite,133,2019,Thriller ,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Parasite,133,2019,Comedy,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Parasite,133,2019,Drama,South Korea,Bong Joon Ho,https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
American Psycho,102,2000,Drama,Canada,Mary Harron,https://m.media-amazon.com/images/M/MV5BNzBjM2I5ZjUtNmIzNy00OGNkLWIwZDMtOTAwYWUwMzA2YjdlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
American Psycho,102,2000,Thriller ,USA,Mary Harron,https://m.media-amazon.com/images/M/MV5BNzBjM2I5ZjUtNmIzNy00OGNkLWIwZDMtOTAwYWUwMzA2YjdlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
American Psycho,102,2000,Drama,USA,Mary Harron,https://m.media-amazon.com/images/M/MV5BNzBjM2I5ZjUtNmIzNy00OGNkLWIwZDMtOTAwYWUwMzA2YjdlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
American Psycho,102,2000,Thriller ,Canada,Mary Harron,https://m.media-amazon.com/images/M/MV5BNzBjM2I5ZjUtNmIzNy00OGNkLWIwZDMtOTAwYWUwMzA2YjdlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Past Lives,106,2023,Drama,USA,Celine Song,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Past Lives,106,2023,Romance,South Korea,Celine Song,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Past Lives,106,2023,Drama,South Korea,Celine Song,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Past Lives,106,2023,Romance,USA,Celine Song,https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar,162,2009,Science Fiction,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar,162,2009,Action,UK,James Cameron,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar,162,2009,Science Fiction,UK,James Cameron,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar,162,2009,Action,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NjItMDJlYTRlNGJiZjcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar: The Way of Water,192,2022,Science Fiction,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BNWI0Y2NkOWEtMmM2OC00MjQ3LWI1YzItZGQxYzQ3NzI4NWZmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Avatar: The Way of Water,192,2022,Action,USA,James Cameron,https://m.media-amazon.com/images/M/MV5BNWI0Y2NkOWEtMmM2OC00MjQ3LWI1YzItZGQxYzQ3NzI4NWZmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Babel,143,2006,Drama,France,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BNDY3YjliMzgtMTkxYi00MmRkLWI1YTktNGQ3NGJhNzVhNzg5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Babel,143,2006,Drama,Mexico,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BNDY3YjliMzgtMTkxYi00MmRkLWI1YTktNGQ3NGJhNzVhNzg5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Babel,143,2006,Drama,USA,Alejando Gonzales Inarritu,https://m.media-amazon.com/images/M/MV5BNDY3YjliMzgtMTkxYi00MmRkLWI1YTktNGQ3NGJhNzVhNzg5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Pan's Labyrinth,118,2006,Drama,Mexico,Guillermo del Toro,https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Pan's Labyrinth,118,2006,Drama,Spain,Guillermo del Toro,https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Pan's Labyrinth,118,2006,Drama,USA,Guillermo del Toro,https://m.media-amazon.com/images/M/MV5BOTc1NTAxMWItMWFlNy00MmU2LTkwMTMtNzMwOTg5OTQ5YTFiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Battleship Potemkin,75,1925,Drama,USSR,Sergei Einsenstein,https://m.media-amazon.com/images/M/MV5BZmY5ZGQwMTEtM2E0ZC00NzVkLTgyYzktZDYxMjhiMzA5N2MzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bowling for Columbine,120,2002,Documentary,Canada,Michael Moore,https://m.media-amazon.com/images/M/MV5BNTNlYzY3NDEtNDk4OC00MzJjLWJmNWUtZTJjMTAzMTA1NWI1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bowling for Columbine,120,2002,Documentary,Germany,Michael Moore,https://m.media-amazon.com/images/M/MV5BNTNlYzY3NDEtNDk4OC00MzJjLWJmNWUtZTJjMTAzMTA1NWI1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bowling for Columbine,120,2002,Documentary,USA,Michael Moore,https://m.media-amazon.com/images/M/MV5BNTNlYzY3NDEtNDk4OC00MzJjLWJmNWUtZTJjMTAzMTA1NWI1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The House is Black,21,1963,Documentary,Iran,Forugh Farrokhzad,https://m.media-amazon.com/images/M/MV5BNjAzMDAyMGUtYWMyYi00NDk2LTljYjUtMTUzY2U5OWUwYzRmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Gaza Fights for Freedom,84,2019,Documentary,USA,Abby Martin,https://m.media-amazon.com/images/M/MV5BMjQ2NjY3MjgtZTcyYi00M2NmLThmYmEtNTk4NzdmYTk1NjI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Gaza Fights for Freedom,84,2019,Documentary,State of Palestine,Abby Martin,https://m.media-amazon.com/images/M/MV5BMjQ2NjY3MjgtZTcyYi00M2NmLThmYmEtNTk4NzdmYTk1NjI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Violet Perfume: Nobody Hears You,90,2001,Drama,Mexico,Maryse Sistach,https://m.media-amazon.com/images/M/MV5BNmI5ODNjNjUtY2IzYi00OTdjLTlhMmYtYjMxNjE5YzNhZjhiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
I Dream in Another Language,101,2017,Drama,Mexico,Ernesto Contreras,https://m.media-amazon.com/images/M/MV5BZjg4YThmZDQtZmY2My00MThlLTgxMTItZDgzMmQyNDNhYzhmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Macario,91,1960,Drama,Mexico,Roberto Galvadon,https://m.media-amazon.com/images/M/MV5BNTVmOWJkNWYtYWJkYy00MDQ3LTlhY2UtMWIyYzcwNDVmYjA3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Herod's Law,123,1999,Drama,Mexico,Luis Estrada,https://m.media-amazon.com/images/M/MV5BMWM0NmM0MGQtZTk4NC00N2VmLWJiNmUtMDJjYzMwZmMzMDQxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Herod's Law,123,1999,Comedy,Mexico,Luis Estrada,https://m.media-amazon.com/images/M/MV5BMWM0NmM0MGQtZTk4NC00N2VmLWJiNmUtMDJjYzMwZmMzMDQxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Nope ,130,2022,Science Fiction,USA,Jordan Peele,https://m.media-amazon.com/images/M/MV5BODRlNWRhZWUtMzdlZC00ZDIyLWFhZjMtYTcxNjI1ZDIwODhjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Nope ,130,2022,Horror,USA,Jordan Peele,https://m.media-amazon.com/images/M/MV5BODRlNWRhZWUtMzdlZC00ZDIyLWFhZjMtYTcxNjI1ZDIwODhjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Soul,101,2020,Animation,USA,Pete Docter,https://m.media-amazon.com/images/M/MV5BZTZkYjA5MDEtMjY1ZC00ODk5LThjOTUtZDYxODEzYWNjMTU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Soul,101,2020,Comedy,USA,Pete Docter,https://m.media-amazon.com/images/M/MV5BZTZkYjA5MDEtMjY1ZC00ODk5LThjOTUtZDYxODEzYWNjMTU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Soul,101,2020,Drama,USA,Pete Docter,https://m.media-amazon.com/images/M/MV5BZTZkYjA5MDEtMjY1ZC00ODk5LThjOTUtZDYxODEzYWNjMTU2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Promare,111,2019,Action,Japan,Hiroyuki Imaishi,https://m.media-amazon.com/images/M/MV5BZDFkZTE2NTctMDRhYS00OGUzLTg3MTgtZmNhZGI5M2UzNmFkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Promare,111,2019,Animation,Japan,Hiroyuki Imaishi,https://m.media-amazon.com/images/M/MV5BZDFkZTE2NTctMDRhYS00OGUzLTg3MTgtZmNhZGI5M2UzNmFkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Promare,111,2019,Science Fiction,Japan,Hiroyuki Imaishi,https://m.media-amazon.com/images/M/MV5BZDFkZTE2NTctMDRhYS00OGUzLTg3MTgtZmNhZGI5M2UzNmFkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Shape of Water,123,2017,Drama,USA,Guillermo del Toro,https://m.media-amazon.com/images/M/MV5BOGFlMTM2MTgtZDdlMy00ZDZlLWFjOTUtZDMzMGEwNmNiMWY0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Shape of Water,123,2017,Romance,USA,Guillermo del Toro,https://m.media-amazon.com/images/M/MV5BOGFlMTM2MTgtZDdlMy00ZDZlLWFjOTUtZDMzMGEwNmNiMWY0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
A Ghost Story,93,2017,Drama,USA,David Lowery,https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_FMjpg_UX1000_.jpg
